hour,avg_fare
0,19.542712487741777
1,17.61098718011576
2,16.354819333264576
3,17.27655270938633
4,22.5082577096757
5,26.230558602378284
6,21.94669053534856
7,19.229039730835716
8,18.522315826927002
9,18.337571271689253
10,18.570643325396638
11,18.80879208001342
12,19.225717266404317
13,19.91218790183024
14,20.651181117025214
15,20.66589704710955
16,20.85473574507723
17,19.365616606931678
18,18.169670555716262
19,18.15397280488279
20,18.399234299176857
21,18.471187605398217
22,19.24770756969251
23,20.113977558463873
