date,trip_count
2024-11-11,99824
2024-11-12,127185
2024-11-13,133298
2024-11-14,141642
2024-11-15,139683
2024-11-16,149939
2024-11-17,123375
2024-11-18,113449
2024-11-19,125361
2024-11-20,133043
2024-11-21,153149
2024-11-22,150016
2024-11-23,134768
2024-11-24,108373
2024-11-25,104082
2024-11-26,114424
2024-11-27,107719
2024-11-28,77244
2024-11-29,86461
2024-11-30,102157
2024-12-01,95651
2024-12-02,112167
2024-12-03,129263
2024-12-04,133796
2024-12-05,148377
2024-12-06,147460
2024-12-07,145899
2024-12-08,118645
2024-12-09,118424
2024-12-10,138189
2024-12-11,143326
2024-12-12,156911
2024-12-13,159845
2024-12-14,159150
2024-12-15,125794
2024-12-16,115355
2024-12-17,131046
2024-12-18,140692
2024-12-19,144181
2024-12-20,138973
2024-12-21,131279
2024-12-22,105211
2024-12-23,95016
2024-12-24,80805
2024-12-25,54764
2024-12-26,74814
2024-12-27,84802
2024-12-28,88213
2024-12-29,79584
2024-12-30,82021
2024-12-31,88697
2025-01-06,1
2025-01-16,1
2025-02-09,1
2025-03-02,1
2025-03-23,1
2026-06-26,2
