Roadway Name,Roadway Name og,From,To,Direction,average_volume
9 Avenue,9 Avenue,West 45 Street,West 46 Street,SB,1052.083333
Manhattan Bridge Upper Level,MANHATTAN BRIDGE UPPER LEVEL,BODY OF WATER,BODY OF WATER,NB,1051.875
9 Avenue,9 AVENUE,WEST 25th STREET,WEST 26th STREET,SB,1051.708333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,SB,1051.333333
1 Avenue,1 Avenue,59 Street,East 60 Street,NB,1051.333333
Korean War Vets Parkway,KOREAN WAR VETS PARKWAY,HEENAN AVENUE,ALBEE AVENUE,NB,1051.166667
10 Avenue,10 AVENUE,WEST 27 STREET,WEST 28 STREET,NB,1051
Varick Street,Varick Street,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB,1050.791667
1 Avenue,1 Avenue,East 12 Street,East 13 Street,NB,1050.75
Bruckner Expressway,BRUCKNER EXPRESSWAY,OLMSTEAD AVENUE,CASTLE HILL AVENUE,EB,1050.708333
10 Avenue,10 AVENUE,WEST 27 DRIVE,WEST 28th STREET,NB,1050.666667
Exterior Street,Exterior Street,East 138 Street,East 135 Street,SB,1050.5
Northern Boulevard,NORTHERN BOULEVARD,College Point Boulevard,Prince Street,WB,1050.416667
East Houston Street,EAST HOUSTON STREET,BROADWAY,CROSBY STREET,WB,1049.458333
1 Avenue,1 Avenue,E 120th St,E 124th St,NB,1049.375
North Conduit Avenue,North Conduit Avenue,Glenmore Avenue,Lincoln Avenue,WB,1049.083333
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1048.75
6Th Avenue,6TH AVENUE,West 45th Street,West 46th Street,NB,1048.666667
Columbus Circle,Columbus Circle,Broadway,8 Avenue,SB,1048.416667
Bruckner Expressway,BRUCKNER EXPRESSWAY,OLMSTEAD AVENUE,CASTLE HILL AVENUE,EB,1048.416667
1 Avenue,1 Avenue,59 Street,East 60 Street,NB,1048.333333
7 Avenue,7 Avenue,West 27 Street,West 28 Street,SB,1048.208333
10 Avenue,10 AVENUE,WEST 27 DRIVE,WEST 28th STREET,NB,1048.166667
Washington Bridge,Washington Bridge,Harlem River Shoreline,Harlem River Shoreline,WB,1048.041667
10 Avenue,10 Avenue,West 27 Drive,West 28 Street,NB,1047.666667
5 Avenue,5 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,1047.583333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,NB,1047.416667
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,SB,1047.375
5 Avenue,5 Avenue,West 25 Street,East 26 Street,SB,1047.25
3 Avenue,3 Avenue,East 46 Street,East 47 Street,NB,1047.166667
Northern Boulevard,Northern Boulevard,College Point Boulevard,King Road,EB,1047.041667
Ocean Parkway Main Road,Ocean Parkway Main Road,Lawrence Avenue,Parkville Avenue,SB,1046.791667
2 Avenue,2 AVENUE,EAST 73 STREET,EAST 74 STREET,SB,1046.5
5 Avenue,5 AVENUE,BROADWAY,EAST 26 STREET,SB,1046.416667
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,NB,1046.125
11 Avenue,11 Avenue,West 45 Street,West 46 Street,SB,1045.875
5 Avenue,5 Avenue,West 25 Street,East 26 Street,SB,1045.75
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1045.458333
Madison Avenue,Madison Avenue,East 73 Street,East 74 Street,NB,1045.291667
East Gun Hill Road,EAST GUN HILL ROAD,Bronx Boulevard,Bronx River Parkway,WB,1045.166667
Madison Avenue,MADISON AVENUE,EAST 61 STREET,EAST 62 STREET,NB,1044.708333
Bruckner Boulevard,Bruckner Boulevard,St. Anns Avenue,St. Anns Place,EB,1044.666667
Columbus Circle,Columbus Circle,Broadway,8 Avenue,SB,1044.666667
1 Ave,1 AVE,EAST 120 ST,EAST 124 ST,NB,1044.625
Henry Hudson Pkwy,HENRY HUDSON PKWY,W 235th ST,W 236th ST,NB-MAIN,1044.5
Avenue Of The Americas,AVENUE OF THE AMERICAS,VANDAM STREET,SPRING STREET,NB,1044.458333
10 Avenue,10 Avenue,West 27 Drive,West 28 Street,NB,1044.25
Belt Parkway,Belt Parkway,72 Street,74 Street,SB,1044.125
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,NB,1043.875
Canal Street,CANAL STREET,BROADWAY,CORTLANDT ALLEY,EB,1043.833333
Lexington Avenue,LEXINGTON AVENUE,60 STREET,EAST 61 STREET,SB,1043.833333
2 Avenue Main Road,2 AVENUE MAIN ROAD,EAST 122 STREET,EAST 123 STREET,SB,1043.541667
Northern Boulevard,Northern Boulevard,College Point Boulevard,King Road,EB,1043.458333
3 Avenue,3 Avenue,East 46 Street,East 47 Street,NB,1043
2 Ave,2 AVE,EAST 124 ST,EAST 123 ST,SB,1042.875
Canal Street,CANAL STREET,BROADWAY,CORTLANDT ALLEY,EB,1042.041667
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 61 STREET,WEST 62 STREET,NB,1041.916667
8 Avenue,8 Avenue,8 Avenue Line,8 Avenue Line,NB,1041.541667
Queens Boulevard,QUEENS BOULEVARD,SKILLMAN AVENUE,JACKSON AVENUE,SB,1041.416667
Woodhaven Boulevard,Woodhaven Boulevard,95 Avenue,95 Street,SB,1040.875
10Th Avenue,10TH AVENUE,West 45th Street,West 46th Street,NB,1040.875
5 Avenue,5 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,1040.416667
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1040
Avenue Of The Americas,Avenue of the Americas,8 Avenue Line,8 Avenue Line,NB,1039.833333
1 Ave,1 AVE,EAST 120 ST,EAST 124 ST,NB,1039.625
Woodhaven Blvd,Woodhaven Blvd,Eliot Ave,Lirr Main Line,NB,1039.5
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,SB,1038.416667
Woodhaven Boulevard,Woodhaven Boulevard,95 Avenue,95 Street,SB,1038.25
Amsterdam Avenue,Amsterdam Avenue,Dead End,West 62 Street,NB,1038.25
7 Avenue,7 Avenue,West 27 Street,West 28 Street,SB,1038.166667
Queens Boulevard,Queens Boulevard,78 Avenue,Dead end,WB,1038.083333
West Street,West Street,Bloomfield Street,Little West 12 Street,NB,1038
6Th Avenue,6TH AVENUE,West 45th Street,West 46th Street,NB,1038
Avenue Of The Americas,Avenue of the Americas,8 Avenue Line,8 Avenue Line,NB,1037.416667
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,NB,1036.541667
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1036.458333
1 Avenue,1 Avenue,E 120th St,E 124th St,NB,1036.458333
1 Avenue,1 AVENUE,EAST 11 STREET,EAST 12 STREET,NB,1036.291667
10 Avenue,10 AVENUE,WEST 27 DRIVE,WEST 28th STREET,NB,1036.166667
Northern Boulevard,Northern Boulevard,College Point Boulevard,King Road,EB,1036.125
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,NB,1035.75
Woodhaven Boulevard,WOODHAVEN BOULEVARD,75 AVENUE,76 AVENUE,NB,1035.166667
Linden Boulevard,LINDEN BOULEVARD,HINSDALE STREET,SNEDIKER AVENUE,WB,1035.083333
Linden Boulevard,LINDEN BOULEVARD,HINSDALE STREET,SNEDIKER AVENUE,WB,1034.916667
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1034.875
Northern Boulevard,Northern Boulevard,Collins Place,Kings Road,EB,1034.583333
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1034
3 Avenue,3 Avenue,East 60 Street,61 Street,NB,1033.5
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1033.458333
Bruckner Boulevard,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,163 STREET,WB,1033.208333
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,SB,1033.083333
Exterior Street,Exterior Street,East 138 Street,East 135 Street,SB,1032.958333
South Conduit Avenue,South Conduit Avenue,Hemlock Avenue,Autumn Avenue,EB,1032.916667
West Street,West Street,Bike Path,Dead End,SB,1032.708333
West Street,West Street,Dead end,Hubert Street,SB,1032.708333
2 Avenue,2 Avenue,East 73 Street,East 74 Street,SB,1032.208333
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1032.083333
Richmond Avenue,RICHMOND AVENUE,Forest Hill Road,Forest Hill Bridge,NB,1031.875
Ocean Parkway Main Road,Ocean Parkway Main Road,Lawrence Avenue,Parkville Avenue,SB,1031.708333
West Street,West Street,Dead end,Hubert Street,SB,1031.583333
Ocean Parkway,Ocean Parkway,Lawrence Avenue,Parkville Avenue,SB,1031.5
8 Avenue,8 Avenue,8 Avenue Line,8 Avenue Line,NB,1031.5
East Houston Street,EAST HOUSTON STREET,BROADWAY,CROSBY STREET,WB,1031.458333
Hylan Boulevard,HYLAN BOULEVARD,POILLON AVENUE,DOLE STREET,WB,1031.375
Northern Boulevard,NORTHERN BOULEVARD,College Point Boulevard,Prince Street,WB,1031.333333
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1031.083333
East 138 Street,EAST 138 STREET,GRAND CONCOURSE,PARK AVENUE,EB,1030.916667
Woodhaven Boulevard,Woodhaven Boulevard,73 Avenue,74 Avenue,NB,1030.875
2 Avenue,2 AVENUE,EAST 99 STREET,EAST 100 STREET,SB,1030.541667
2 Avenue,2 Avenue,Dead end,East 123 Street,SB,1030.5
5 Avenue,5 AVENUE,EAST 12 STREET,EAST 13 STREET,SB,1030.416667
Madison Avenue,MADISON AVENUE,EAST 61 STREET,EAST 62 STREET,NB,1030.375
Bruckner Boulevard,Bruckner Boulevard,Havemeyer Avenue,Castle Hill Avenue,NB,1030.333333
West Broadway,West Broadway,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB,1030.208333
East Fordham Road,EAST FORDHAM ROAD,Bronx River Shoreline,Pelham Parkway,EB,1030
Northern Boulevard,Northern Boulevard,Collins Place,Kings Road,EB,1029.875
2 Avenue,2 AVENUE,EAST 74 STREET,EAST 75 STREET,SB,1029.541667
1 Avenue,1 Avenue,East 73 Street,East 74 Street,NB,1029.458333
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1029.375
Amsterdam Avenue,Amsterdam Avenue,Dead End,West 62 Street,NB,1029.291667
7Th Avenue,7th AVENUE,West 12th Street,West 13th Street,SB,1029.083333
3 Avenue,3 AVENUE,EAST 59 STREET,EAST 60 STREET,NB,1028.958333
Hylan Boulevard,HYLAN BOULEVARD,EBBITTS AVENUE,PRINCETON AVENUE,SB,1028.916667
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,NB,1028.041667
2 Avenue,2 Avenue,East 74 Street,East 75 Street,SB,1027.833333
Henry Hudson Pkwy,HENRY HUDSON PKWY,W 235th ST,W 236th ST,SB-MAIN,1027.708333
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1027.583333
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,NB,1027
Madison Avenue,MADISON AVENUE,EAST 59 STREET,EAST 60 STREET,NB,1026.666667
Bushwick Avenue,Bushwick Avenue,Conway Street,Highland Boulevard,EB,1026.583333
Lexington Avenue,Lexington Avenue,East 46 Street,East 47 Street,SB,1026.5
Woodhaven Boulevard,WOODHAVEN BOULEVARD,Union Turnpike,79th Avenue,NB,1026.458333
North Conduit Avenue,North Conduit Avenue,Eldert Lane,Forbell Street,WB,1026.291667
Clearview Expressway,CLEARVIEW EXPRESSWAY,39 AVENUE,BOYCE AVENUE,NB,1025.958333
6 Avenue,6 Avenue,Spring Street,Vandam Street,NB,1025.958333
Atlantic Ave,ATLANTIC AVE,CLASSON AVE,NYCTA SUBWAY,EB,1025.75
Atlantic Ave,ATLANTIC AVE,ALABAMA AVE,WILLIAMS AVE,WB-MR,1025.541667
7Th Avenue,7th AVENUE,West 12th Street,West 13th Street,SB,1025.375
8 Avenue,8 AVENUE,WEST 26 STREET,WEST 27 STREET,NB,1025.333333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,NB,1024.625
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1024.416667
2 Avenue,2 Avenue,East 27 Street,East 28 Street,SB,1024.291667
Madison Avenue,Madison Avenue,East 73 Street,East 74 Street,NB,1024.083333
Richmond Avenue,RICHMOND AVENUE,Forest Hill Road,Forest Hill Bridge,SB,1024.041667
1 Avenue,1 AVENUE,EAST 11 STREET,EAST 12 STREET,NB,1023.791667
East 138 Street,EAST 138 STREET,GRAND CONCOURSE,PARK AVENUE,EB,1023.083333
9 Avenue,9 AVENUE,WEST 25th STREET,WEST 26th STREET,SB,1022.75
Van Wyck Boulevard East,Van Wyck Boulevard East,Lloyd Road,Liberty Avenue,NB,1022.625
Hylan Boulevard,HYLAN BOULEVARD,EBBITTS AVENUE,PRINCETON AVENUE,SB,1022.208333
Avenue Of The Americas,Avenue of the Americas,8 Avenue Line,8 Avenue Line,NB,1022
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1021.458333
Washington Bridge,Washington Bridge,Harlem River Shoreline,Harlem River Shoreline,WB,1021.375
Bedford Avenue,Bedford Avenue,Hancock Street,Halsey Street,NB,1021.291667
10Th Avenue,10TH AVENUE,West 45th Street,West 46th Street,NB,1020.708333
South Conduit Avenue,South Conduit Avenue,150 Street,Van Wyck Expressway,EB,1020.541667
Henry Hudson Pkwy,HENRY HUDSON PKWY,INDEPENDENCE AVE,W 232nd ST,NB-MAIN,1020.458333
7 Avenue,7 AVENUE,BROADWAY,WEST 46 STREET,SB,1020.208333
Washington Bridge,Washington Bridge,Harlem River Shoreline,Harlem River Shoreline,WB,1020.208333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,NB,1019.75
3 Avenue,3 Avenue,29 Street,30 Street,NB,1019.583333
2 Avenue,2 Avenue,East 73 Street,East 74 Street,SB,1019.458333
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,NB,1019.458333
Fdr Drive Viaduct,FDR DRIVE VIADUCT,WHITEHALL STREET,STATE STREET,EB,1019.375
Exterior Street,Exterior Street,East 138 Street,East 135 Street,SB,1019.25
5 Avenue,5 Avenue,East 46 Street,East 47 Street,SB,1019.25
5 Avenue,5 Avenue,East 12 Street,East 13 Street,SB,1018.958333
5 Avenue,5 AVENUE,BROADWAY,EAST 26 STREET,SB,1018.708333
Bruckner Boulevard,Bruckner Boulevard,St. Anns Avenue,St. Anns Place,EB,1018.5
Ocean Parkway,Ocean Parkway,Lawrence Avenue,Parkville Avenue,SB,1018.208333
3 Avenue,3 Avenue,Astoria Line,East 61 Street,NB,1018.166667
Columbus Avenue,Columbus Avenue,West 61 Street,West 62 Street,SB,1018.083333
Bruckner Boulevard,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,163 STREET,WB,1017.875
8 Avenue,8 Avenue,8 Avenue Line,8 Avenue Line,NB,1017.791667
Lexington Avenue,LEXINGTON AVENUE,60 STREET,EAST 61 STREET,SB,1017.583333
2 Avenue,2 AVENUE,EAST 74 STREET,EAST 75 STREET,SB,1017.583333
Korean War Vets Parkway,KOREAN WAR VETS PARKWAY,HEENAN AVENUE,ALBEE AVENUE,NB,1017.458333
Madison Avenue,Madison Avenue,East 73 Street,East 74 Street,NB,1017.333333
3 Avenue,3 AVENUE,EAST 59 STREET,EAST 60 STREET,NB,1017.291667
1 Avenue,1 AVENUE,EAST 11 STREET,EAST 12 STREET,NB,1017.291667
3 Avenue,3 Avenue,East 60 Street,61 Street,NB,1017
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1016.875
1 Avenue,1 AVENUE,EAST 120 STREET,PALADINO AVENUE,NB,1016.666667
Woodhaven Blvd,Woodhaven Blvd,Eliot Ave,Lirr Main Line,NB,1016.625
Bruckner Boulevard,Bruckner Boulevard,St. Anns Avenue,St. Anns Place,EB,1016.541667
7 Avenue,7 Avenue,West 27 Street,West 28 Street,SB,1016.375
5 Avenue,5 AVENUE,BROADWAY,EAST 26 STREET,SB,1016
11 Avenue,11 AVENUE,WEST 43 STREET,WEST 44 STREET,SB,1015.458333
3 Avenue,3 AVENUE,EAST 59 STREET,EAST 60 STREET,NB,1015.375
Woodhaven Blvd,WOODHAVEN BLVD,97th AVE,101st ST,NB-MAIN,1015.375
Bruckner Boulevard,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,163 STREET,EB,1015.291667
Madison Avenue,Madison Avenue,East 73 Street,East 74 Street,NB,1015.208333
Van Wyck Boulevard East,Van Wyck Boulevard East,Lloyd Road,Liberty Avenue,NB,1014.75
1St Avenue,1st AVENUE,East 60th Street,East 61st Street,NB,1014.625
5 Avenue,5 AVENUE,WEST 25 STREET,EAST 26 STREET,SB,1014.541667
Queens Boulevard,QUEENS BOULEVARD,SKILLMAN AVENUE,JACKSON AVENUE,SB,1014.458333
Hylan Boulevard,HYLAN BOULEVARD,POILLON AVENUE,DOLE STREET,WB,1014.166667
Henry Hudson Parkway,HENRY HUDSON PARKWAY,231 STREET,232 STREET,NB,1014.125
West Broadway,West Broadway,Worth Street,Leonard Street,SB,1013.958333
2 Avenue,2 Avenue,East 74 Street,East 75 Street,SB,1013.958333
1St Avenue,1st AVENUE,East 60th Street,East 61st Street,NB,1013.958333
Richmond Avenue,RICHMOND AVENUE,Forest Hill Road,Forest Hill Bridge,SB,1013.958333
3 Avenue,3 AVENUE,EAST 59 STREET,EAST 60 STREET,NB,1013.875
Belt Parkway,Belt Parkway,72 Street,74 Street,SB,1013.875
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1013.5
1 Avenue,1 Avenue,Dead end,Dead end,NB,1013.291667
3 Avenue,3 Avenue,29 Street,30 Street,NB,1013
East Gun Hill Road,EAST GUN HILL ROAD,Bronx Boulevard,Bronx River Parkway,WB,1012.875
Canal Street,CANAL STREET,BROADWAY,CORTLANDT ALLEY,EB,1012.833333
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1012.833333
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,NB,1012.666667
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,SB,1012.583333
6 Avenue,6 Avenue,Spring Street,Vandam Street,NB,1012.208333
1 Ave,1 AVE,EAST 120 ST,EAST 124 ST,NB,1012.166667
3 Avenue,3 AVENUE,26 STREET,27 STREET,NB,1011.583333
3 Avenue,3 AVENUE,26 STREET,27 STREET,SB,1011.5
North Conduit Avenue,NORTH CONDUIT AVENUE,Glenmore Avenue,Lincoln Avenue,WB,1011.458333
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,SB,1010.791667
9 Avenue,9 AVENUE,WEST 25th STREET,WEST 26th STREET,SB,1010.666667
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,NB,1010.625
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 61 STREET,WEST 62 STREET,NB,1010.583333
Broadway,Broadway,Spring Street,Prince Street,SB,1010.541667
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,SB,1010.5
Linden Boulevard,Linden Boulevard,Malta Street,Alabama Avenue,WB,1010.375
Southern Boulevard,SOUTHERN BOULEVARD,Mosholu Parkway,Bronx River Parkway,SB,1009.791667
Amsterdam Avenue,Amsterdam Avenue,Dead End,West 62 Street,NB,1009.708333
2 Avenue,2 Avenue,East 27 Street,East 28 Street,SB,1009.625
Broadway,BROADWAY,PRINCE STREET,SPRING STREET,SB,1009.458333
Woodhaven Boulevard,Woodhaven Boulevard,95 Avenue,95 Street,SB,1009.375
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1009.333333
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,NB,1009.208333
Madison Avenue,Madison Avenue,East 45 Street,East 46 Street,NB,1009.166667
Madison Avenue,Madison Avenue,East 73 Street,East 74 Street,NB,1009.041667
5 Avenue,5 AVENUE,BROADWAY,EAST 26 STREET,SB,1008.833333
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1008.708333
3 Avenue,3 AVENUE,25 STREET,26 STREET,SB,1008.041667
Ocean Parkway,Ocean Parkway,Parkville Avenue,Lawrence Avenue,NB,1007.958333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,SB,1007.625
Northern Boulevard,Northern Boulevard,Collins Place,Kings Road,EB,1007.625
11 Avenue,11 Avenue,West 44 Street,West 45 Street,SB,1007.541667
Woodhaven Boulevard,Woodhaven Boulevard,73 Avenue,74 Avenue,SB,1007.375
Atlantic Avenue,ATLANTIC AVENUE,Classon Avenue,Franklin Avenue Shuttle Line,WB,1007.333333
7 Avenue,7 Avenue,West 27 Street,West 28 Street,SB,1007.25
Queens Boulevard,Queens Boulevard,78 Avenue,Dead end,WB,1007.25
Northern Boulevard,Northern Boulevard,College Point Boulevard,King Road,EB,1007.208333
Bruckner Boulevard,Bruckner Boulevard,St. Anns Avenue,St. Anns Place,EB,1007.125
East Gun Hill Road,EAST GUN HILL ROAD,BRONX RIVER PARKWAY,BRONX RIVER PARKWAY,WB,1006.958333
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,NB,1006.875
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,SB,1006.791667
2 Avenue,2 AVENUE,EAST 74 STREET,EAST 75 STREET,SB,1006.75
Madison Avenue,Madison Avenue,East 45 Street,East 46 Street,NB,1006.291667
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1006.125
South Conduit Avenue,South Conduit Avenue,Hemlock Avenue,Autumn Avenue,EB,1006.125
Woodhaven Boulevard,WOODHAVEN BOULEVARD,75 AVENUE,76 AVENUE,SB,1006.041667
Amsterdam Avenue,Amsterdam Avenue,West 61 Street,West 62 Street,NB,1005.791667
East Gun Hill Road,EAST GUN HILL ROAD,BRONX RIVER PARKWAY,BRONX RIVER PARKWAY,WB,1005.458333
2 Avenue,2 AVENUE,EAST 99 STREET,EAST 100 STREET,SB,1005.333333
8 Avenue,8 Avenue,8 Avenue Line,8 Avenue Line,NB,1005.041667
2 Ave,2 AVE,EAST 124 ST,EAST 123 ST,SB,1004.625
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1004.541667
Woodhaven Boulevard,Woodhaven Boulevard,73 Avenue,74 Avenue,NB,1004.5
Broadway,Broadway,Spring Street,Prince Street,SB,1004.416667
Bruckner Expressway,BRUCKNER EXPRESSWAY,OLMSTEAD AVENUE,CASTLE HILL AVENUE,EB,1004.333333
Exterior Street/135 Street,Exterior Street/135 Street,3 Avenue,East 138 Street,SB,1004.291667
Avenue Of The Americas,AVENUE OF THE AMERICAS,VANDAM STREET,SPRING STREET,NB,1004.041667
3 Avenue,3 Avenue,East 46 Street,East 47 Street,NB,1004.041667
Flatbush Avenue,Flatbush Avenue,State Street,Schermerhorn Street,NB,1004
1St Avenue,1st AVENUE,East 60th Street,East 61st Street,NB,1003.958333
6 Avenue,6 Avenue,Spring Street,Vandam Street,NB,1003.875
West Broadway,West Broadway,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB,1003.833333
10 Avenue,10 Avenue,West 27 Drive,West 28 Street,NB,1003.75
East 138 Street,EAST 138 STREET,GRAND CONCOURSE,PARK AVENUE,EB,1003.666667
North Conduit Avenue,NORTH CONDUIT AVENUE,Glenmore Avenue,Lincoln Avenue,WB,1003.333333
Madison Avenue,MADISON AVENUE,74 STREET,75 STREET,NB,1003.25
Dutch Kills Street,Dutch Kills Street,Ed Koch Bridge Upper Roadway,Ed Koch Bridge Upper Roadway,SB,1003.166667
University Heights Bridge Approach,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,1002.958333
University Heights Bridge Approach,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,1002.916667
Korean War Vets Parkway,KOREAN WAR VETS PARKWAY,HEENAN AVENUE,ALBEE AVENUE,SB,1002.916667
University Heights Bridge Approach,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,1002.833333
Exterior Street,Exterior Street,East 138 Street,East 135 Street,SB,1002.791667
3 Avenue,3 Avenue,East 60 Street,61 Street,NB,1002.708333
West Broadway,West Broadway,Broadway/ 7 Avenue Line,Broadway/ 7 Avenue Line,SB,1002.583333
Bruckner Boulevard,Bruckner Boulevard,Havemeyer Avenue,Castle Hill Avenue,NB,1002.5
Bruckner Boulevard,Bruckner Boulevard,St. Anns Avenue,St. Anns Place,EB,1002.375
Amsterdam Avenue,AMSTERDAM AVENUE,WEST 73 STREET,WEST 74 STREET,NB,1002.041667
Richmond Avenue,RICHMOND AVENUE,Forest Hill Road,Forest Hill Bridge,SB,1001.916667
1 Avenue,1 Avenue,E 120th St,E 124th St,NB,1001.791667
8 Avenue,8 Avenue,8 Avenue Line,8 Avenue Line,NB,1001.541667
5 Avenue,5 AVENUE,WEST 25 STREET,EAST 26 STREET,SB,1000.833333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,SB,1000.75
5 Avenue,5 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,1000.583333
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,1000.541667
Lexington Avenue,Lexington Avenue,East 46 Street,East 47 Street,SB,1000.5
Exterior Street,Exterior Street,East 138 Street,East 135 Street,SB,1000.416667
Atlantic Ave,ATLANTIC AVE,ALABAMA AVE,WILLIAMS AVE,WB-MR,1000.291667
2 Avenue,2 AVENUE,EAST 74 STREET,EAST 75 STREET,SB,1000.166667
Grand Street,Grand Street,Crosby Street,Lafayette Street,EB,1000.125
Henry Hudson Pkwy,HENRY HUDSON PKWY,INDEPENDENCE AVE,W 232nd ST,NB-MAIN,1000.041667
Broadway,BROADWAY,EAST 11 STREET,EAST 12 STREET,SB,999.7083333
3 Avenue,3 Avenue,East 46 Street,East 47 Street,NB,998.9583333
3 Avenue,3 AVENUE,26 STREET,27 STREET,SB,998.7916667
Columbus Avenue,COLUMBUS AVENUE,WEST 61 STREET,WEST 62 STREET,SB,998.7916667
South Conduit Avenue,South Conduit Avenue,Hemlock Avenue,Autumn Avenue,EB,998.2916667
5 Avenue,5 AVENUE,WEST 25 STREET,EAST 26 STREET,SB,998.2083333
Flatbush Avenue,FLATBUSH AVENUE,4 AVENUE,ROCKWELL PLACE,NB,998.1666667
3 Avenue,3 AVENUE,25 STREET,26 STREET,SB,998.1666667
3 Avenue,3 AVENUE,25 STREET,26 STREET,NB,997.875
1 Ave,1 AVE,EAST 99 ST,EAST 97 ST,SB,997.5833333
Ocean Parkway,Ocean Parkway,Parkville Avenue,Lawrence Avenue,NB,997.5833333
Ocean Parkway Main Road,Ocean Parkway Main Road,Lawrence Avenue,Parkville Avenue,SB,997.4583333
Linden Boulevard,Linden Boulevard,Van Sinderen Avenue,Snediker Avenue,EB,997.2083333
8 Avenue,8 AVENUE,WEST 26 STREET,WEST 27 STREET,NB,997.1666667
