Roadway Name,Roadway Name og,From,To,Direction,average_volume
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,4083.541667
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,4081.583333
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,4075.625
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,EB,4067.083333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,SB,4045.041667
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,4039.333333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,SB,4029.958333
Bronx River Parkway,BRONX RIVER PARKWAY,BOSTON ROAD,ENTRANCE,SB,4024.625
Bronx River Parkway,BRONX RIVER PARKWAY,MORRIS PARK AVENUE,BRONXDALE AVENUE,SB,4023.5
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,4010.5
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,EB,3997.75
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3993.125
Long Island Expressway,LONG ISLAND EXPRESSWAY,57 AVENUE,254 STREET,EB,3991.958333
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3987.291667
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3986.291667
Bronx River Parkway,BRONX RIVER PARKWAY,MORRIS PARK AVENUE,BRONXDALE AVENUE,SB,3958.291667
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,EB,3953.75
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3947.583333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3934.375
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3921.416667
Bronx River Parkway,BRONX RIVER PARKWAY,MORRIS PARK AVENUE,BRONXDALE AVENUE,SB,3915.083333
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3910.083333
Long Island Expressway,LONG ISLAND EXPRESSWAY,73 PLACE,74 STREET,WB,3903.708333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3898
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3888.541667
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3883.833333
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,3881.208333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,MARMION AVENUE,PROSPECT AVENUE,EB,3864.75
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3849.833333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,SB,3835.5
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3833.208333
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3831.958333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3831.166667
Bronx River Parkway,BRONX RIVER PARKWAY,MORRIS PARK AVENUE,BRONXDALE AVENUE,SB,3829.833333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3829.333333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3824.541667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3817.916667
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3815.333333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3815.041667
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3814.541667
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3812.583333
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3806.791667
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3800.708333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3798.416667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3796.458333
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3793.583333
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3789.916667
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3789.291667
