date,subway_ridership
2024-10-17,4309633
2024-10-18,4030998
2024-10-19,2752350
2024-10-20,2176476
2024-10-21,3842315
2024-10-22,4218881
2024-10-23,4276606
2024-10-24,4304831
2024-10-25,4019790
2024-10-26,2828539
2024-10-27,2208683
2024-10-28,3983168
2024-10-29,4378791
2024-10-30,4417951
2024-10-31,4340272
2024-11-01,3780874
2024-11-02,2817106
2024-11-03,2602870
2024-11-04,3949699
2024-11-05,3640246
2024-11-06,4113411
2024-11-07,4232190
2024-11-08,3971878
2024-11-09,2770474
2024-11-10,2117144
2024-11-11,3277617
2024-11-12,4263199
2024-11-13,4331024
2024-11-14,4296568
2024-11-15,3986526
2024-11-16,2789132
2024-11-17,2101806
2024-11-18,3900958
2024-11-19,4277932
2024-11-20,4298945
2024-11-21,4217744
2024-11-22,3854860
2024-11-23,2720244
2024-11-24,2075015
2024-11-25,3914213
2024-11-26,4030009
2024-11-27,3710430
2024-11-28,1513447
2024-11-29,2677499
2024-11-30,2319981
2024-12-01,1893492
2024-12-02,3813795
2024-12-03,4240442
2024-12-04,4374883
2024-12-05,4354863
2024-12-06,4121085
2024-12-07,3017208
2024-12-08,2348950
2024-12-09,3941361
2024-12-10,4374063
2024-12-11,4255328
2024-12-12,4527892
2024-12-13,4178812
2024-12-14,3123454
2024-12-15,2337436
2024-12-16,3866550
2024-12-17,4341385
2024-12-18,4292792
2024-12-19,4255466
2024-12-20,3842344
2024-12-21,2645323
2024-12-22,2061173
2024-12-23,3216875
2024-12-24,2546394
2024-12-25,1378374
2024-12-26,2852679
2024-12-27,3161486
2024-12-28,2268511
2024-12-29,2122102
2024-12-30,3315993
2024-12-31,2874096
