hour,trip_distance,fare_amount,congestion_surcharge,trip_count
0,3.707003149606299,21.049294488188973,2.2322399420079737,6350
1,3.253977978543196,18.54096555618295,2.23705501618123,3542
2,2.9401395598497047,16.638803005904457,2.265957446808511,1863
3,2.967288801571709,16.482897838899802,2.225806451612903,1018
4,4.636293103448276,23.910316091954027,2.0466321243523318,696
5,5.8018642241379315,24.142532327586206,1.7526455026455026,928
6,4.818589211618257,23.08618257261411,2.0316455696202533,1928
7,29.423237816356412,18.132507843547376,2.1041109219168086,4781
8,2.9545190311418685,18.36883044982699,2.2490482869164494,5780
9,3.2266304532337466,19.488967917161773,2.2353747714808043,5891
10,3.1602075351213283,19.70301085568327,2.227899634430043,6264
11,3.0628455893365283,20.087377564774602,2.2503190810465856,6677
12,3.201101220387652,21.00807753050969,2.2573643410852715,6965
13,3.300175078648612,21.50678840103953,2.2502985965959987,7311
14,3.3308295308295306,22.169045279045278,2.247603833865815,8547
15,3.0576325050655857,21.024101525008,2.2298000231187145,9377
16,2.902462911201892,20.308889486132017,2.2307467911318555,9302
17,2.597102528735632,18.72407908045977,2.2849817221770916,10875
18,2.417801406702524,18.048128258171285,2.3032321162444114,12085
19,2.5575487098472878,17.716471827277516,2.294291141771646,11394
20,7.208984930933445,18.856456676433652,2.2751665433012582,9556
21,2.9823782265903445,19.0515574036073,2.29343605920893,9259
22,2.885609781156889,18.967421144559747,2.3193556029376925,9733
23,3.082071377146971,19.35521135452021,2.304565165020477,9723
